iter	MultiClass
0	1.067723166
1	1.043851847
2	1.021594811
3	1.004143633
4	0.9878426485
5	0.972803967
6	0.9596038043
7	0.9486699263
8	0.9384737671
9	0.9287101275
10	0.9197918455
11	0.9111529333
12	0.9035509719
13	0.8958149741
14	0.8888392963
15	0.8820210206
16	0.8762636105
17	0.8702155937
18	0.8645620541
19	0.8591270006
20	0.8543648843
21	0.8486629017
22	0.8432748788
23	0.838704103
24	0.834427929
25	0.8295013957
26	0.8258947072
27	0.821782113
28	0.8180024323
29	0.8137236377
30	0.8100990316
31	0.8063447685
32	0.8025132307
33	0.7988593888
34	0.7954010123
35	0.7922369618
36	0.7889203195
37	0.7862884302
38	0.783098638
39	0.7799182044
40	0.7773978845
41	0.7748057273
42	0.7718757394
43	0.7696067763
44	0.7671572629
45	0.7642947643
46	0.7617159885
47	0.7592674654
48	0.7570897648
49	0.7546132012
50	0.7526448167
51	0.7509627352
52	0.7487781446
53	0.746587259
54	0.7443420044
55	0.74240317
56	0.7397658378
57	0.7378215692
58	0.7362629217
59	0.7343545926
60	0.7327484672
61	0.73096026
62	0.7291953676
63	0.7268853286
64	0.7253372923
65	0.723653915
66	0.7220293611
67	0.7202934352
68	0.7186390286
69	0.7171883473
70	0.7156705006
71	0.713888959
72	0.7121249718
73	0.710855189
74	0.7093210911
75	0.7079814642
76	0.7067534756
77	0.7054145205
78	0.7043315658
79	0.7030333025
80	0.7013160282
81	0.7001971204
82	0.6990124632
83	0.6978829837
84	0.6963222718
85	0.6951857161
86	0.6938715898
87	0.6925286254
88	0.6913617602
89	0.690355325
90	0.68943289
91	0.6879049851
92	0.6867022818
93	0.6855294818
94	0.6841952228
95	0.6831388276
96	0.6818808603
97	0.6801543316
98	0.6787544094
99	0.677676722
100	0.6767401531
101	0.6757446205
102	0.6744896951
103	0.6727481746
104	0.6715136433
105	0.6704316571
106	0.669372626
107	0.6684910635
108	0.6675321191
109	0.6664421874
110	0.6653458769
111	0.6642784246
112	0.6632567347
113	0.6624469214
114	0.6615580549
115	0.6607537734
116	0.6598455655
117	0.658766662
118	0.6575827756
119	0.65667958
120	0.6558162051
121	0.654838087
122	0.6538314463
123	0.6528312787
124	0.6520315411
125	0.651053213
126	0.6500646195
127	0.6491106782
128	0.6483752365
129	0.6475860785
130	0.6468626158
131	0.6459412837
132	0.6450363434
133	0.6443235599
134	0.6436025084
135	0.6428419101
136	0.6418362755
137	0.6407363418
138	0.6400580751
139	0.6392649102
140	0.6384604052
141	0.6378138832
142	0.6368963002
143	0.6361016449
144	0.6354037237
145	0.634357286
146	0.6336603542
147	0.6329156586
148	0.6322301563
149	0.6316034501
150	0.6309675072
151	0.6303829469
152	0.6297720363
153	0.6290625238
154	0.6282273693
155	0.627579745
156	0.6266807946
157	0.6259160311
158	0.6251549287
159	0.6244532629
160	0.6235387395
161	0.622933363
162	0.6221720761
163	0.6214743133
164	0.6207819441
165	0.6198413628
166	0.6192900961
167	0.6185401259
168	0.6180178637
169	0.6172001515
170	0.6166090003
171	0.6162177558
172	0.615696277
173	0.6150648843
174	0.6144424065
175	0.6138479685
176	0.613462904
177	0.6128296736
178	0.6122398792
179	0.6116448277
180	0.6112400716
181	0.6105989438
182	0.6100696391
183	0.609580352
184	0.60902926
185	0.6086614072
186	0.6081015335
187	0.6075781257
188	0.6070909658
189	0.6065228822
190	0.6061571043
191	0.6054487255
192	0.6048660398
193	0.6044498753
194	0.6041188951
195	0.6037100506
196	0.6030989332
197	0.6027589657
198	0.6021466736
199	0.6014754243
200	0.6010052057
201	0.6005476292
202	0.5999900779
203	0.5992076176
204	0.5987304319
205	0.5982378408
206	0.5978818828
207	0.5974129991
208	0.5969159416
209	0.596604587
210	0.5962086217
211	0.5959165172
212	0.5953265964
213	0.5949082167
214	0.5945990649
215	0.5940820134
216	0.5937263129
217	0.5932792398
218	0.5924307305
219	0.5919817108
220	0.5915761274
221	0.5912391562
222	0.5909798268
223	0.5907502451
224	0.5902483042
225	0.5896751786
226	0.5893047971
227	0.5891192591
228	0.5887564632
229	0.5884190806
230	0.5878777352
231	0.5874312747
232	0.5871117052
233	0.5865971915
234	0.5862068059
235	0.5857491641
236	0.5853572363
237	0.5849773784
238	0.5845017711
239	0.5841904687
240	0.5837919924
241	0.5835791189
242	0.5831662141
243	0.5828409401
244	0.5825615899
245	0.58235061
246	0.5820643002
247	0.58185185
248	0.5815546907
249	0.5812113158
250	0.5809714644
251	0.5806916148
252	0.5803137632
253	0.579963149
254	0.5795835772
255	0.5793634615
256	0.5789538839
257	0.5785268784
258	0.578182595
259	0.5776974713
260	0.5774531893
261	0.57704818
262	0.5768220118
263	0.5763813582
264	0.5758897338
265	0.5756304084
266	0.575147518
267	0.5748957392
268	0.574505198
269	0.5742112096
270	0.5739007015
271	0.5735008801
272	0.5732057806
273	0.5729757083
274	0.5727201176
275	0.5724362915
276	0.5719820549
277	0.5717245298
278	0.5714521206
279	0.5712099864
