iter	Passed	Remaining
0	186	186423
1	215	107391
2	246	81818
3	274	68315
4	301	60033
5	328	54428
6	356	50548
7	383	47501
8	410	45255
9	437	43279
10	466	41925
11	495	40760
12	525	39863
13	552	38884
14	578	37972
15	603	37111
16	630	36442
17	655	35779
18	681	35184
19	707	34643
20	733	34187
21	758	33726
22	783	33287
23	809	32936
24	836	32619
25	862	32309
26	887	31970
27	912	31661
28	938	31417
29	964	31173
30	991	30984
31	1016	30750
32	1041	30522
33	1066	30292
34	1092	30116
35	1118	29943
36	1143	29768
37	1171	29666
38	1198	29541
39	1226	29424
40	1251	29279
41	1277	29132
42	1306	29081
43	1335	29019
44	1361	28889
45	1387	28769
46	1412	28649
47	1438	28532
48	1464	28418
49	1491	28347
50	1517	28234
51	1543	28136
52	1568	28018
53	1593	27923
54	1620	27849
55	1650	27821
56	1676	27743
57	1702	27658
58	1728	27567
59	1772	27769
60	1803	27755
61	1828	27670
62	1855	27600
63	1881	27516
64	1907	27431
65	1932	27353
66	1958	27272
67	1983	27187
68	2009	27108
69	2034	27024
70	2063	26995
71	2090	26950
72	2117	26886
73	2144	26829
74	2172	26789
75	2200	26748
76	2227	26697
77	2254	26646
78	2281	26597
79	2310	26573
80	2339	26539
81	2369	26524
82	2399	26508
83	2426	26465
84	2454	26420
85	2480	26363
86	2507	26316
87	2534	26263
88	2562	26226
89	2590	26189
90	2617	26143
91	2644	26097
92	2671	26058
93	2699	26019
94	2727	25979
95	2754	25935
96	2781	25897
97	2810	25869
98	2839	25839
99	2865	25789
100	2891	25741
101	2917	25688
102	2944	25642
103	2975	25633
104	3003	25603
105	3031	25566
106	3059	25533
107	3085	25485
108	3115	25468
109	3143	25437
110	3171	25401
111	3197	25350
112	3223	25305
113	3251	25268
114	3280	25243
115	3307	25204
116	3332	25151
117	3358	25104
118	3385	25064
119	3411	25020
120	3439	24989
121	3467	24955
122	3494	24915
123	3521	24879
124	3548	24840
125	3575	24799
126	3604	24775
127	3634	24759
128	3661	24724
129	3688	24681
130	3715	24646
131	3742	24607
132	3770	24576
133	3799	24555
134	3825	24511
135	3852	24476
136	3885	24474
137	3911	24434
138	3938	24395
139	3967	24369
140	3994	24337
141	4022	24305
142	4050	24274
143	4076	24235
144	4103	24195
145	4129	24156
146	4157	24122
147	4184	24091
148	4211	24052
149	4237	24014
150	4264	23977
151	4290	23938
152	4316	23897
153	4342	23855
154	4369	23818
155	4394	23777
156	4422	23744
157	4449	23709
158	4476	23677
159	4502	23640
160	4530	23609
161	4558	23577
162	4590	23570
163	4616	23530
164	4641	23487
165	4668	23457
166	4696	23424
167	4722	23389
168	4749	23351
169	4774	23311
170	4800	23274
171	4827	23236
172	4852	23197
173	4878	23156
174	4905	23123
175	4931	23086
176	4957	23049
177	4983	23014
178	5009	22975
179	5036	22944
180	5064	22915
181	5093	22891
182	5120	22862
183	5145	22820
184	5173	22789
185	5200	22757
186	5229	22735
187	5255	22700
188	5281	22663
189	5306	22623
190	5332	22588
191	5360	22559
192	5386	22524
193	5412	22487
194	5438	22449
195	5463	22412
196	5489	22375
197	5515	22342
198	5542	22308
199	5569	22277
200	5595	22242
201	5622	22211
202	5649	22180
203	5675	22147
204	5704	22123
205	5732	22094
206	5760	22066
207	5787	22038
208	5814	22006
209	5842	21977
210	5868	21945
211	5895	21912
212	5922	21881
213	5949	21850
214	5977	21823
215	6003	21788
216	6029	21755
217	6056	21726
218	6086	21706
219	6115	21682
220	6141	21649
221	6168	21618
222	6195	21585
223	6222	21556
224	6250	21528
225	6276	21494
226	6302	21460
227	6327	21424
228	6353	21392
229	6380	21361
230	6406	21328
231	6433	21297
232	6462	21272
233	6493	21255
234	6521	21230
235	6548	21200
236	6574	21166
237	6601	21134
238	6627	21102
239	6655	21075
240	6683	21048
241	6712	21026
242	6739	20995
243	6766	20963
244	6792	20931
245	6820	20903
246	6847	20876
247	6875	20849
248	6902	20818
249	6930	20790
250	6957	20762
251	6984	20731
252	7011	20702
253	7038	20671
254	7063	20637
255	7089	20603
256	7116	20573
257	7143	20545
258	7170	20515
259	7197	20486
260	7225	20458
261	7253	20431
262	7283	20410
263	7312	20387
264	7339	20357
265	7366	20327
266	7392	20295
267	7419	20266
268	7446	20234
269	7472	20204
270	7499	20172
271	7527	20148
272	7555	20119
273	7581	20087
274	7608	20058
275	7639	20038
276	7666	20011
277	7693	19981
278	7722	19956
279	7748	19924
280	7775	19894
281	7800	19860
282	7827	19830
283	7855	19805
284	7881	19773
285	7910	19748
286	7938	19722
287	7965	19692
288	7993	19664
289	8019	19634
290	8047	19607
291	8076	19583
292	8104	19554
293	8132	19529
294	8162	19506
295	8188	19476
296	8217	19451
297	8244	19421
298	8271	19391
299	8298	19362
300	8325	19333
301	8352	19304
302	8379	19275
303	8406	19246
304	8432	19214
305	8459	19186
306	8487	19159
307	8514	19129
308	8541	19100
309	8567	19070
310	8593	19038
311	8618	19005
312	8647	18979
313	8675	18952
314	8700	18921
315	8727	18890
316	8753	18859
317	8779	18829
318	8805	18798
319	8832	18769
320	8859	18740
321	8886	18710
322	8913	18682
323	8940	18652
324	8966	18622
325	8992	18591
326	9018	18561
327	9045	18532
328	9072	18503
329	9098	18473
330	9125	18443
331	9151	18413
332	9178	18384
333	9205	18356
334	9233	18329
335	9260	18300
336	9287	18271
337	9315	18245
338	9342	18217
339	9369	18188
340	9395	18157
341	9422	18129
342	9449	18100
343	9477	18073
344	9503	18043
345	9530	18014
346	9556	17983
347	9583	17955
348	9610	17927
349	9636	17896
350	9662	17866
351	9690	17838
352	9717	17810
353	9744	17782
354	9772	17756
355	9801	17731
356	9831	17707
357	9861	17683
358	9888	17656
359	9917	17631
360	9944	17603
361	9972	17576
362	10001	17550
363	10026	17519
364	10052	17488
365	10078	17458
366	10104	17428
367	10132	17401
368	10161	17376
369	10188	17348
370	10215	17318
371	10240	17288
372	10267	17259
373	10294	17231
374	10321	17202
375	10348	17174
376	10377	17149
377	10405	17122
378	10433	17095
379	10460	17067
380	10487	17039
381	10518	17017
382	10546	16989
383	10572	16960
384	10599	16931
385	10626	16903
386	10652	16873
387	10679	16844
388	10708	16819
389	10735	16791
390	10761	16761
391	10790	16736
392	10817	16708
393	10845	16680
394	10871	16651
395	10898	16622
396	10926	16595
397	10952	16566
398	10978	16536
399	11004	16507
400	11032	16479
401	11059	16451
402	11088	16425
403	11116	16398
404	11145	16374
405	11172	16345
406	11200	16319
407	11226	16290
408	11253	16260
409	11279	16232
410	11308	16205
411	11334	16177
412	11361	16147
413	11387	16118
414	11413	16089
415	11440	16061
416	11466	16031
417	11493	16002
418	11521	15975
419	11550	15950
420	11577	15922
421	11606	15896
422	11632	15867
423	11659	15839
424	11688	15813
425	11715	15785
426	11742	15756
427	11769	15729
428	11803	15709
429	11832	15684
430	11861	15659
431	11888	15631
432	11915	15602
433	11941	15573
434	11967	15544
435	11996	15518
436	12025	15492
437	12052	15464
438	12078	15435
439	12105	15407
440	12132	15378
441	12158	15349
442	12185	15321
443	12212	15293
444	12240	15266
445	12267	15238
446	12294	15210
447	12322	15182
448	12348	15154
449	12375	15125
450	12401	15096
451	12427	15067
452	12454	15038
453	12479	15008
454	12504	14978
455	12531	14949
456	12560	14923
457	12588	14897
458	12614	14868
459	12640	14838
460	12666	14810
461	12692	14780
462	12721	14754
463	12748	14726
464	12775	14698
465	12803	14671
466	12831	14644
467	12858	14616
468	12884	14587
469	12910	14558
470	12938	14531
471	12967	14505
472	12993	14477
473	13020	14449
474	13047	14420
475	13073	14391
476	13099	14362
477	13125	14333
478	13151	14304
479	13177	14275
480	13204	14247
481	13231	14219
482	13256	14189
483	13282	14160
484	13308	14131
485	13333	14101
486	13359	14073
487	13386	14045
488	13414	14018
489	13440	13988
490	13465	13958
491	13490	13929
492	13516	13900
493	13542	13870
494	13567	13842
495	13594	13814
496	13621	13785
497	13646	13756
498	13671	13726
499	13698	13698
500	13725	13670
501	13751	13642
502	13776	13612
503	13803	13584
504	13830	13556
505	13855	13527
506	13882	13498
507	13907	13469
508	13933	13441
509	13958	13411
510	13983	13381
511	14010	13353
512	14036	13325
513	14063	13297
514	14089	13268
515	14115	13240
516	14143	13213
517	14168	13183
518	14194	13155
519	14221	13127
520	14248	13100
521	14274	13071
522	14302	13044
523	14329	13017
524	14357	12990
525	14383	12961
526	14410	12933
527	14454	12921
528	14483	12895
529	14509	12866
530	14537	12840
531	14563	12811
532	14589	12782
533	14616	12754
534	14643	12727
535	14674	12703
536	14701	12675
537	14727	12647
538	14753	12618
539	14780	12591
540	14805	12561
541	14834	12535
542	14862	12508
543	14891	12482
544	14918	12454
545	14943	12425
546	14969	12397
547	14996	12369
548	15021	12339
549	15047	12311
550	15074	12283
551	15101	12256
552	15129	12229
553	15155	12200
554	15183	12173
555	15209	12145
556	15236	12117
557	15263	12090
558	15289	12062
559	15316	12034
560	15341	12005
561	15367	11976
562	15393	11948
563	15419	11920
564	15446	11892
565	15472	11864
566	15497	11835
567	15523	11806
568	15550	11779
569	15576	11750
570	15601	11721
571	15628	11694
572	15654	11666
573	15680	11637
574	15707	11610
575	15733	11581
576	15760	11553
577	15786	11525
578	15812	11497
579	15839	11470
580	15869	11444
581	15895	11416
582	15921	11387
583	15946	11359
584	15972	11331
585	15998	11302
586	16026	11275
587	16058	11252
588	16088	11226
589	16115	11199
590	16142	11171
591	16168	11142
592	16195	11115
593	16223	11088
594	16251	11061
595	16277	11033
596	16304	11006
597	16333	10979
598	16361	10953
599	16390	10926
600	16415	10898
601	16441	10870
602	16467	10841
603	16494	10814
604	16521	10786
605	16548	10759
606	16579	10734
607	16607	10707
608	16633	10679
609	16660	10651
610	16687	10624
611	16712	10595
612	16739	10568
613	16766	10540
614	16793	10513
615	16819	10485
616	16845	10456
617	16876	10431
618	16903	10404
619	16931	10377
620	16957	10349
621	16985	10322
622	17011	10294
623	17037	10266
624	17064	10238
625	17092	10212
626	17119	10184
627	17145	10156
628	17173	10129
629	17200	10101
630	17226	10073
631	17253	10046
632	17280	10018
633	17309	9992
634	17336	9964
635	17363	9937
636	17390	9910
637	17418	9883
638	17445	9855
639	17472	9828
640	17498	9800
641	17526	9773
642	17553	9745
643	17580	9718
644	17607	9691
645	17637	9665
646	17665	9638
647	17693	9611
648	17722	9584
649	17750	9557
650	17776	9529
651	17802	9502
652	17831	9475
653	17859	9448
654	17889	9422
655	17917	9395
656	17944	9368
657	17970	9340
658	17996	9312
659	18022	9284
660	18048	9256
661	18074	9228
662	18103	9201
663	18129	9173
664	18155	9145
665	18180	9117
666	18208	9090
667	18237	9063
668	18264	9036
669	18291	9009
670	18318	8981
671	18346	8954
672	18372	8927
673	18398	8899
674	18426	8872
675	18456	8846
676	18487	8820
677	18514	8792
678	18539	8764
679	18566	8737
680	18591	8708
681	18619	8681
682	18645	8654
683	18672	8626
684	18697	8598
685	18723	8570
686	18752	8543
687	18779	8516
688	18807	8489
689	18836	8462
690	18863	8435
691	18890	8407
692	18917	8380
693	18944	8353
694	18972	8325
695	19000	8298
696	19027	8271
697	19056	8245
698	19086	8219
699	19114	8191
700	19140	8163
701	19167	8136
702	19200	8111
703	19231	8085
704	19258	8058
705	19283	8030
706	19311	8003
707	19337	7975
708	19363	7947
709	19390	7920
710	19417	7892
711	19444	7865
712	19470	7837
713	19496	7809
714	19524	7782
715	19549	7754
716	19577	7727
717	19602	7699
718	19628	7671
719	19657	7644
720	19683	7616
721	19710	7589
722	19738	7562
723	19764	7534
724	19790	7506
725	19816	7479
726	19842	7451
727	19867	7423
728	19894	7395
729	19922	7368
730	19950	7341
731	19978	7314
732	20004	7286
733	20030	7258
734	20055	7230
735	20080	7202
736	20106	7175
737	20133	7147
738	20158	7119
739	20183	7091
740	20209	7063
741	20236	7036
742	20261	7008
743	20289	6981
744	20318	6954
745	20351	6929
746	20378	6901
747	20404	6874
748	20430	6846
749	20456	6818
750	20481	6790
751	20507	6763
752	20534	6735
753	20560	6708
754	20585	6679
755	20611	6652
756	20638	6625
757	20664	6597
758	20691	6569
759	20716	6542
760	20744	6514
761	20770	6487
762	20796	6459
763	20824	6432
764	20851	6405
765	20877	6377
766	20902	6349
767	20929	6322
768	20955	6294
769	20984	6268
770	21012	6241
771	21037	6213
772	21063	6185
773	21090	6158
774	21117	6130
775	21142	6103
776	21168	6075
777	21195	6047
778	21220	6020
779	21247	5993
780	21275	5965
781	21301	5938
782	21327	5910
783	21354	5883
784	21382	5856
785	21408	5828
786	21436	5801
787	21464	5774
788	21490	5747
789	21516	5719
790	21544	5692
791	21570	5665
792	21596	5637
793	21622	5609
794	21649	5582
795	21674	5554
796	21700	5527
797	21726	5499
798	21753	5472
799	21782	5445
800	21811	5418
801	21837	5391
802	21864	5363
803	21891	5336
804	21919	5309
805	21951	5283
806	21979	5256
807	22006	5229
808	22032	5201
809	22058	5174
810	22085	5146
811	22113	5119
812	22140	5092
813	22166	5064
814	22191	5037
815	22216	5009
816	22242	4982
817	22269	4954
818	22294	4927
819	22323	4900
820	22352	4873
821	22378	4846
822	22407	4819
823	22438	4792
824	22465	4765
825	22490	4737
826	22516	4710
827	22544	4683
828	22569	4655
829	22594	4627
830	22621	4600
831	22647	4573
832	22673	4545
833	22704	4519
834	22734	4492
835	22760	4464
836	22787	4437
837	22815	4410
838	22845	4383
839	22873	4356
840	22898	4329
841	22925	4301
842	22952	4274
843	22979	4247
844	23005	4220
845	23031	4192
846	23061	4165
847	23088	4138
848	23114	4111
849	23143	4084
850	23172	4057
851	23199	4029
852	23226	4002
853	23253	3975
854	23282	3948
855	23308	3921
856	23337	3894
857	23365	3866
858	23391	3839
859	23416	3812
860	23442	3784
861	23469	3757
862	23496	3729
863	23522	3702
864	23548	3675
865	23574	3647
866	23602	3620
867	23630	3593
868	23656	3566
869	23682	3538
870	23713	3512
871	23742	3485
872	23769	3457
873	23798	3430
874	23826	3403
875	23856	3376
876	23883	3349
877	23911	3322
878	23940	3295
879	23968	3268
880	23996	3241
881	24025	3214
882	24051	3186
883	24078	3159
884	24104	3132
885	24130	3104
886	24158	3077
887	24185	3050
888	24211	3023
889	24238	2995
890	24265	2968
891	24292	2941
892	24319	2913
893	24344	2886
894	24370	2859
895	24395	2831
896	24422	2804
897	24450	2777
898	24478	2750
899	24506	2722
900	24532	2695
901	24558	2668
902	24585	2640
903	24614	2613
904	24639	2586
905	24667	2559
906	24694	2532
907	24723	2504
908	24750	2477
909	24779	2450
910	24809	2423
911	24837	2396
912	24866	2369
913	24892	2342
914	24921	2315
915	24949	2287
916	24975	2260
917	25003	2233
918	25029	2206
919	25054	2178
920	25080	2151
921	25106	2123
922	25135	2096
923	25161	2069
924	25187	2042
925	25215	2015
926	25240	1987
927	25265	1960
928	25293	1933
929	25319	1905
930	25344	1878
931	25370	1851
932	25397	1823
933	25424	1796
934	25451	1769
935	25478	1742
936	25505	1714
937	25531	1687
938	25559	1660
939	25586	1633
